x[0] 		x[1] 		x[2] 		 Norma
0.100000 	0.100000 	0.100000
0.161688 	0.102703 	-0.194583 	0.211076
0.122646 	0.086104 	0.152123 	0.170164
0.133831 	0.087276 	0.058703 	0.128933
0.140499 	0.083212 	0.040289 	0.026201
0.141806 	0.082354 	0.035125 	0.012740
0.141830 	0.082505 	0.032992 	0.010661
0.139789 	0.084884 	0.029744 	0.019508
0.138721 	0.085915 	0.030438 	0.008907
0.136534 	0.088364 	0.027496 	0.018593
0.135846 	0.088996 	0.028064 	0.006614
0.118830 	0.106505 	0.018775 	0.036684
0.118788 	0.106563 	0.018541 	0.002490
0.114607 	0.110377 	0.016334 	0.015018
0.114499 	0.110445 	0.016569 	0.001384
0.114412 	0.110508 	0.016657 	0.001706
0.111870 	0.112638 	0.016074 	0.010915
0.111905 	0.112632 	0.015817 	0.001337
0.111893 	0.112650 	0.015702 	0.001455
0.111628 	0.112876 	0.015463 	0.003974
0.111564 	0.112919 	0.015543 	0.001413
0.110904 	0.113433 	0.015490 	0.005657
0.110906 	0.113442 	0.015361 	0.001289
0.110860 	0.113484 	0.015267 	0.001866
0.110696 	0.113606 	0.015305 	0.002749
0.110670 	0.113632 	0.015214 	0.001591
0.109978 	0.114160 	0.015144 	0.005877
0.109981 	0.114167 	0.015022 	0.001232
0.109943 	0.114201 	0.014937 	0.001754
0.109788 	0.114313 	0.014972 	0.002725
0.109769 	0.114332 	0.014901 	0.001392
0.107195 	0.116301 	0.013801 	0.011661
0.107148 	0.116326 	0.013918 	0.001019
0.107115 	0.116345 	0.013962 	0.001163
0.106938 	0.116460 	0.013975 	0.003293
0.106929 	0.116468 	0.013920 	0.001195
0.106740 	0.116597 	0.013785 	0.003761
0.106709 	0.116615 	0.013829 	0.001149
0.106553 	0.116713 	0.013845 	0.003136
0.106544 	0.116721 	0.013793 	0.001199
0.106264 	0.116906 	0.013614 	0.004626
0.106234 	0.116922 	0.013665 	0.001074
0.106186 	0.116950 	0.013687 	0.001693
0.106147 	0.116977 	0.013636 	0.001887
0.106101 	0.117004 	0.013659 	0.001668
0.106061 	0.117031 	0.013608 	0.001921
0.106017 	0.117057 	0.013631 	0.001637
0.105974 	0.117085 	0.013580 	0.001970
