x[0] 		x[1] 		x[2] 		Norma
1.000000 	1.000000 	1.000000
0.500000 	0.000799 	-0.523639 	1.214826
0.500000 	0.000797 	-0.523579 	0.007925
0.500000 	0.000795 	-0.523579 	0.000212
0.500000 	0.000793 	-0.523579 	0.000212
0.500000 	0.000791 	-0.523579 	0.000212
0.500000 	0.000790 	-0.523579 	0.000212
0.500000 	0.000788 	-0.523579 	0.000212
0.500000 	0.000786 	-0.523579 	0.000212
0.500000 	0.000784 	-0.523579 	0.000211
0.500000 	0.000782 	-0.523579 	0.000211
0.500000 	0.000781 	-0.523579 	0.000211
0.500000 	0.000779 	-0.523579 	0.000211
0.500000 	0.000777 	-0.523579 	0.000211
0.500000 	0.000775 	-0.523579 	0.000211
0.500000 	0.000773 	-0.523579 	0.000211
0.500000 	0.000772 	-0.523579 	0.000210
0.500000 	0.000770 	-0.523579 	0.000210
0.500000 	0.000768 	-0.523579 	0.000210
0.500000 	0.000766 	-0.523580 	0.000210
0.500000 	0.000765 	-0.523580 	0.000210
0.500000 	0.000763 	-0.523580 	0.000210
0.500000 	0.000761 	-0.523580 	0.000209
0.500000 	0.000759 	-0.523580 	0.000209
0.500000 	0.000757 	-0.523580 	0.000209
0.500000 	0.000756 	-0.523580 	0.000209
0.500000 	0.000754 	-0.523580 	0.000209
0.500000 	0.000752 	-0.523580 	0.000209
0.500000 	0.000750 	-0.523580 	0.000209
0.500000 	0.000749 	-0.523580 	0.000208
0.500000 	0.000747 	-0.523580 	0.000208
0.500000 	0.000745 	-0.523580 	0.000208
0.500000 	0.000743 	-0.523580 	0.000208
0.500000 	0.000742 	-0.523580 	0.000208
0.500000 	0.000740 	-0.523580 	0.000208
0.500000 	0.000738 	-0.523580 	0.000207
0.500000 	0.000736 	-0.523580 	0.000207
0.500000 	0.000735 	-0.523580 	0.000207
0.500000 	0.000733 	-0.523580 	0.000207
0.500000 	0.000731 	-0.523580 	0.000207
0.500000 	0.000730 	-0.523580 	0.000207
0.500000 	0.000728 	-0.523580 	0.000207
0.500000 	0.000726 	-0.523581 	0.000206
0.500000 	0.000724 	-0.523581 	0.000206
0.500000 	0.000723 	-0.523581 	0.000206
0.500000 	0.000721 	-0.523581 	0.000206
0.500000 	0.000719 	-0.523581 	0.000206
0.500000 	0.000718 	-0.523581 	0.000206
0.500000 	0.000716 	-0.523581 	0.000205
0.500000 	0.000714 	-0.523581 	0.000205
0.500000 	0.000713 	-0.523581 	0.000205
0.500000 	0.000711 	-0.523581 	0.000205
0.500000 	0.000709 	-0.523581 	0.000205
0.500000 	0.000708 	-0.523581 	0.000205
0.500000 	0.000706 	-0.523581 	0.000205
0.500000 	0.000704 	-0.523581 	0.000204
0.500000 	0.000702 	-0.523581 	0.000204
0.500000 	0.000701 	-0.523581 	0.000204
0.500000 	0.000699 	-0.523581 	0.000204
0.500000 	0.000697 	-0.523581 	0.000204
0.500000 	0.000696 	-0.523581 	0.000204
0.500000 	0.000694 	-0.523581 	0.000203
0.500000 	0.000693 	-0.523581 	0.000203
0.500000 	0.000691 	-0.523581 	0.000203
0.500000 	0.000689 	-0.523581 	0.000203
0.500000 	0.000688 	-0.523582 	0.000203
0.500000 	0.000686 	-0.523582 	0.000203
0.500000 	0.000684 	-0.523582 	0.000202
0.500000 	0.000683 	-0.523582 	0.000202
0.500000 	0.000681 	-0.523582 	0.000202
0.500000 	0.000679 	-0.523582 	0.000202
0.500000 	0.000678 	-0.523582 	0.000202
0.500000 	0.000676 	-0.523582 	0.000202
0.500000 	0.000674 	-0.523582 	0.000201
0.500000 	0.000673 	-0.523582 	0.000201
0.500000 	0.000671 	-0.523582 	0.000201
0.500000 	0.000670 	-0.523582 	0.000201
0.500000 	0.000668 	-0.523582 	0.000201
0.500000 	0.000666 	-0.523582 	0.000201
0.500000 	0.000665 	-0.523582 	0.000200
0.500000 	0.000663 	-0.523582 	0.000200
0.500000 	0.000662 	-0.523582 	0.000200
0.500000 	0.000660 	-0.523582 	0.000200
0.500000 	0.000658 	-0.523582 	0.000200
0.500000 	0.000657 	-0.523582 	0.000200
0.500000 	0.000655 	-0.523582 	0.000199
0.500000 	0.000654 	-0.523582 	0.000199
0.500000 	0.000652 	-0.523582 	0.000199
0.500000 	0.000650 	-0.523582 	0.000199
0.500000 	0.000649 	-0.523582 	0.000199
0.500000 	0.000647 	-0.523583 	0.000199
0.500000 	0.000646 	-0.523583 	0.000198
0.500000 	0.000644 	-0.523583 	0.000198
0.500000 	0.000643 	-0.523583 	0.000198
0.500000 	0.000641 	-0.523583 	0.000198
0.500000 	0.000639 	-0.523583 	0.000198
0.500000 	0.000638 	-0.523583 	0.000198
0.500000 	0.000636 	-0.523583 	0.000197
0.500000 	0.000635 	-0.523583 	0.000197
0.500000 	0.000633 	-0.523583 	0.000197
0.500000 	0.000632 	-0.523583 	0.000197
0.500000 	0.000630 	-0.523583 	0.000197
0.500000 	0.000629 	-0.523583 	0.000197
0.500000 	0.000627 	-0.523583 	0.000196
0.500000 	0.000626 	-0.523583 	0.000196
0.500000 	0.000624 	-0.523583 	0.000196
0.500000 	0.000622 	-0.523583 	0.000196
0.500000 	0.000621 	-0.523583 	0.000196
0.500000 	0.000619 	-0.523583 	0.000196
0.500000 	0.000618 	-0.523583 	0.000195
0.500000 	0.000616 	-0.523583 	0.000195
0.500000 	0.000615 	-0.523583 	0.000195
0.500000 	0.000613 	-0.523583 	0.000195
0.500000 	0.000612 	-0.523583 	0.000195
0.500000 	0.000610 	-0.523583 	0.000195
0.500000 	0.000609 	-0.523583 	0.000194
0.500000 	0.000607 	-0.523584 	0.000194
0.500000 	0.000606 	-0.523584 	0.000194
0.500000 	0.000604 	-0.523584 	0.000194
0.500000 	0.000603 	-0.523584 	0.000194
0.500000 	0.000601 	-0.523584 	0.000194
0.500000 	0.000600 	-0.523584 	0.000193
0.500000 	0.000598 	-0.523584 	0.000193
0.500000 	0.000597 	-0.523584 	0.000193
0.500000 	0.000595 	-0.523584 	0.000193
0.500000 	0.000594 	-0.523584 	0.000193
0.500000 	0.000592 	-0.523584 	0.000192
0.500000 	0.000591 	-0.523584 	0.000192
0.500000 	0.000590 	-0.523584 	0.000192
0.500000 	0.000588 	-0.523584 	0.000192
0.500000 	0.000587 	-0.523584 	0.000192
0.500000 	0.000585 	-0.523584 	0.000192
0.500000 	0.000584 	-0.523584 	0.000191
0.500000 	0.000582 	-0.523584 	0.000191
0.500000 	0.000581 	-0.523584 	0.000191
0.500000 	0.000579 	-0.523584 	0.000191
0.500000 	0.000578 	-0.523584 	0.000191
0.500000 	0.000576 	-0.523584 	0.000191
0.500000 	0.000575 	-0.523584 	0.000190
0.500000 	0.000574 	-0.523584 	0.000190
0.500000 	0.000572 	-0.523584 	0.000190
0.500000 	0.000571 	-0.523584 	0.000190
0.500000 	0.000569 	-0.523584 	0.000190
0.500000 	0.000568 	-0.523585 	0.000190
0.500000 	0.000566 	-0.523585 	0.000189
0.500000 	0.000565 	-0.523585 	0.000189
0.500000 	0.000564 	-0.523585 	0.000189
0.500000 	0.000562 	-0.523585 	0.000189
0.500000 	0.000561 	-0.523585 	0.000189
0.500000 	0.000559 	-0.523585 	0.000188
0.500000 	0.000558 	-0.523585 	0.000188
0.500000 	0.000557 	-0.523585 	0.000188
0.500000 	0.000555 	-0.523585 	0.000188
0.500000 	0.000554 	-0.523585 	0.000188
0.500000 	0.000552 	-0.523585 	0.000188
0.500000 	0.000551 	-0.523585 	0.000187
0.500000 	0.000550 	-0.523585 	0.000187
