x[0] 		x[1] 		x[2] 		Norma
1.000000 	1.000000 	1.000000
0.462500 	0.625000 	-0.125000 	1.542674
0.259926 	0.121324 	-0.900735 	0.522924
0.120824 	0.438236 	-1.768378 	1.562115
0.213659 	0.378463 	-1.382137 	1.111137
0.211633 	0.359352 	-1.390927 	0.097031
0.207876 	0.354784 	-1.409076 	0.214428
0.207031 	0.353824 	-1.413121 	0.101908
0.206853 	0.353613 	-1.413973 	0.046747
0.206813 	0.353567 	-1.414160 	0.021906
0.206804 	0.353556 	-1.414202 	0.010314
0.206803 	0.353554 	-1.414211 	0.004861
0.206802 	0.353554 	-1.414213 	0.002291
0.206802 	0.353553 	-1.414213 	0.001080
0.206802 	0.353553 	-1.414214 	0.000509
0.206802 	0.353553 	-1.414214 	0.000240
0.206802 	0.353553 	-1.414214 	0.000113
0.206802 	0.353553 	-1.414214 	0.000053
0.206802 	0.353553 	-1.414214 	0.000025
0.206802 	0.353553 	-1.414214 	0.000012
0.206802 	0.353553 	-1.414214 	0.000006
